date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:55	794/794	---M--	200	added ('OK')	image/png	etag:%225fd24b1b-31a%22	https://www.makerbot.com/wp-content/uploads/flags/de.png	C:/Users/EXC_TECH/Downloads/mkaerbot/www.makerbot.com/wp-content/uploads/flags/de.png	(from https://support.makerbot.com/)
17:38:55	1626/1626	---M--	200	added ('OK')	image/png	etag:%225fd24b1b-65a%22	https://www.makerbot.com/wp-content/uploads/flags/cn.png	C:/Users/EXC_TECH/Downloads/mkaerbot/www.makerbot.com/wp-content/uploads/flags/cn.png	(from https://support.makerbot.com/)
17:38:56	1994/1994	---M--	200	added ('OK')	image/png	etag:%225fd24b73-7ca%22	https://www.makerbot.com/wp-content/themes/genesis-makerbot/images/makerbot-logo-mobile.png	C:/Users/EXC_TECH/Downloads/mkaerbot/www.makerbot.com/wp-content/themes/genesis-makerbot/images/makerbot-logo-mobile.png	(from https://support.makerbot.com/)
17:38:56	527/527	---M--	200	added ('OK')	image/png	etag:%225fd24b73-20f%22	https://www.makerbot.com/wp-content/themes/genesis-makerbot/images/icon-cart.png	C:/Users/EXC_TECH/Downloads/mkaerbot/www.makerbot.com/wp-content/themes/genesis-makerbot/images/icon-cart.png	(from https://support.makerbot.com/)
17:38:56	450/450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221c2-17643eff118%22	https://support.makerbot.com/img/svg/search.svg	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/img/svg/search.svg	(from https://support.makerbot.com/)
17:38:57	67235/67235	---MCZ	200	added ('OK')	text/html	etag:W/%22106a3-ESWmOWGgG9Ax8738drTCPGVWDSc%22	https://support.makerbot.com/product	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/product.html	(from https://support.makerbot.com/)
17:39:00	64671/64671	---MCZ	200	added ('OK')	text/html	etag:W/%22fc9f-aqLu7oZmOLWA4v/oSm15QwGRlFE%22	https://support.makerbot.com/product/makerbot-method	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/product/makerbot-method.html	(from https://support.makerbot.com/)
17:39:00	19639/19639	---M--	200	added ('OK')	image/png	etag:%22a5802992b2161a6ab62d449286f090d6%22	https://images.makerbot.com/support/production/home/product-method.png	C:/Users/EXC_TECH/Downloads/mkaerbot/images.makerbot.com/support/production/home/product-method.png	(from https://support.makerbot.com/)
17:39:01	64473/64473	---MCZ	200	added ('OK')	text/html	etag:W/%22fbd9-uSfMqBk9aTgudsPyhL1x/zJB2e0%22	https://support.makerbot.com/product/makerbot-replicatorplus	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/product/makerbot-replicatorplus.html	(from https://support.makerbot.com/)
17:39:01	5654/5654	---M--	200	added ('OK')	image/png	etag:%2264a9dca099109d5daaab6e9e8706873a%22	https://images.makerbot.com/support/production/home/product-replicator-plus.png	C:/Users/EXC_TECH/Downloads/mkaerbot/images.makerbot.com/support/production/home/product-replicator-plus.png	(from https://support.makerbot.com/)
